,0,1,2,3
177,0.72,1.06,0.09,0.76
178,2.83,4.05,0.03,0.83
179,0.97,3.02,0.0,2.31
180,5.0,1.88,0.0,1.23
181,4.34,5.0,0.07,0.74
182,0.95,1.3,0.0,1.41
183,1.86,4.44,0.0,2.48
184,4.55,4.74,0.0,4.82
185,2.8,2.97,0.32,1.82
186,5.0,4.58,0.0,4.74
187,2.88,3.95,0.63,0.96
188,1.0,4.19,0.0,1.15
189,4.67,3.82,0.0,2.0
190,0.81,4.83,0.29,0.9
191,1.17,1.6,0.0,2.27
192,0.68,0.75,0.66,1.19
193,5.0,0.76,0.0,1.29
194,0.67,1.31,0.18,1.05
195,1.57,2.24,0.22,1.51
196,1.56,4.12,0.0,1.36
197,1.44,1.76,0.2,1.42
198,2.13,5.0,0.46,1.45
199,1.21,0.64,0.0,1.87
200,0.99,2.85,0.0,0.5
201,3.68,2.19,0.0,1.21
202,0.71,3.01,0.02,1.45
203,3.66,2.84,0.0,0.94
204,0.81,2.93,0.0,0.85
205,0.7,0.69,0.21,0.87
206,2.88,5.0,0.41,3.63
207,1.05,1.3,0.3,0.86
208,0.85,2.85,0.2,0.6
209,4.44,2.8,0.09,0.87
210,0.8,0.83,0.9,1.36
211,5.0,2.75,0.0,2.54
212,4.0,3.82,0.1,1.42
213,1.27,2.82,0.0,1.44
214,0.98,2.78,0.0,1.12
215,4.1,3.61,0.0,0.64
216,0.81,0.98,0.19,0.93
217,3.5,3.95,0.21,1.59
218,2.16,3.74,0.17,2.16
219,0.8,4.84,0.0,1.15
220,2.13,2.14,0.0,0.99
221,4.03,4.0,0.3,1.18
222,1.82,5.0,0.0,0.7
223,4.95,4.48,0.0,2.77
224,3.36,4.01,0.0,0.87
225,0.7,3.07,0.0,0.73
226,3.92,4.09,0.55,3.8
227,1.21,4.98,0.5,1.28
228,4.06,5.0,0.0,1.19
229,1.92,3.72,0.28,0.67
230,0.84,4.96,0.0,0.87
231,2.19,1.44,0.0,1.35
232,0.96,1.22,0.0,0.97
233,3.79,4.97,0.0,3.96
234,0.87,4.85,0.0,0.93
235,1.89,5.0,0.0,2.31
236,0.96,2.73,0.2,1.55
237,1.63,5.0,0.0,0.78
238,0.6,3.34,0.02,1.78
239,0.56,3.0,0.0,2.33
240,3.3,4.4,0.4,0.81
241,0.47,1.38,0.05,0.9
242,2.49,3.58,0.0,1.58
243,0.84,1.12,0.0,0.95
244,0.49,3.24,0.0,0.56
245,0.84,4.99,0.0,0.72
246,1.67,4.87,0.02,0.98
247,1.14,3.47,0.0,0.46
248,1.22,1.2,0.0,1.33
249,4.58,4.7,0.4,3.73
250,1.3,0.96,0.35,1.11
251,0.82,3.94,0.11,1.19
252,1.72,2.92,0.0,1.14
253,0.73,4.34,0.08,1.3
254,1.22,3.28,0.62,1.32
255,1.53,2.92,0.0,1.36
256,4.77,5.0,0.0,4.27
257,2.72,5.0,0.38,0.42
258,0.99,0.79,0.0,0.8
259,3.9,3.09,0.0,0.69
260,0.48,3.76,0.0,1.11
261,0.84,4.03,0.27,1.57
262,1.17,0.98,0.04,0.64
263,1.65,2.92,0.02,1.76
264,0.79,3.28,0.2,1.31
265,1.73,4.01,0.0,2.0
266,1.04,4.47,0.0,1.18
267,0.95,3.0,0.0,1.0
268,2.39,3.1,0.0,1.11
269,0.67,2.55,0.13,1.45
270,4.33,4.0,0.0,3.28
271,4.32,4.9,0.57,5.0
272,5.0,4.94,0.0,4.37
273,1.71,4.99,0.04,0.26
274,4.31,4.9,0.36,2.74
275,2.15,4.03,0.01,0.97
276,3.18,2.65,0.0,0.67
277,1.08,4.06,0.47,0.88
278,3.7,4.98,0.0,2.22
279,0.93,5.0,0.0,0.86
280,4.16,5.0,0.5,4.28
281,0.58,3.47,0.39,1.15
282,2.15,3.17,0.18,0.95
283,1.14,5.0,0.15,1.86
284,4.47,5.0,0.0,4.32
285,2.29,2.9,0.0,3.27
286,1.26,4.09,0.0,3.51
287,0.79,4.39,0.78,2.56
288,4.02,4.8,0.0,1.02
289,1.01,1.91,0.09,0.53
290,1.29,4.81,0.04,1.5
291,1.97,4.19,0.42,1.13
292,0.75,4.96,0.19,2.04
293,1.8,3.0,0.05,0.83
294,1.15,2.94,0.0,1.71
295,5.0,4.7,0.31,5.0
296,4.68,5.0,0.26,3.9
297,5.0,5.0,0.22,4.15
298,0.47,2.2,0.0,0.76
299,5.0,4.8,0.37,4.13
300,1.05,3.75,0.0,1.23
301,3.11,5.0,0.0,0.88
302,3.6,5.0,0.0,3.39
303,2.54,5.0,0.0,4.14
304,0.87,1.49,0.04,1.04
305,2.16,3.2,0.0,1.11
306,4.26,4.9,0.0,0.59
307,2.05,4.93,0.01,0.37
308,0.82,2.17,0.36,1.44
309,1.82,4.27,0.0,1.25
310,5.0,4.64,0.33,5.0
311,4.85,2.63,0.25,3.81
312,2.93,3.55,0.03,1.05
313,1.01,1.04,0.0,0.88
314,1.08,5.0,0.0,1.12
315,2.74,5.0,0.07,0.88
316,1.96,3.41,0.0,0.76
317,0.55,0.45,0.24,0.62
318,1.28,3.65,0.0,0.88
319,1.08,0.47,0.0,1.52
320,0.93,2.81,0.0,0.82
321,1.03,1.63,0.85,0.88
322,1.98,4.84,0.0,1.25
323,3.1,4.74,0.0,0.87
324,1.25,4.72,0.0,1.16
325,1.7,4.9,0.01,2.42
326,1.43,1.25,0.0,1.16
327,0.72,1.35,0.21,1.13
328,1.82,4.81,0.22,0.69
329,3.13,4.06,0.0,1.32
330,0.69,0.88,0.19,0.55
331,1.21,4.1,0.0,1.16
332,0.67,0.34,0.32,0.4
333,4.29,5.0,0.38,1.88
334,0.57,1.75,0.14,0.61
335,3.09,4.94,0.07,1.27
336,3.72,1.62,0.0,0.91
337,4.68,3.16,0.0,1.64
338,5.0,5.0,0.16,5.0
339,0.57,1.85,0.14,0.21
340,3.59,5.0,0.42,2.78
341,1.29,0.52,0.31,1.42
342,1.12,0.92,0.21,1.66
343,0.63,1.29,0.52,0.79
344,4.49,5.0,0.36,5.0
345,0.8,0.93,0.0,1.35
346,1.02,0.37,0.15,1.39
347,4.18,1.62,0.71,0.73
348,0.9,0.56,0.0,0.23
349,1.19,5.0,0.0,1.19
350,4.52,5.0,0.0,4.81
351,3.05,1.06,0.0,1.14
352,1.0,1.3,0.02,0.74
353,4.82,5.0,0.08,5.0
354,0.96,1.56,0.0,1.23
355,0.84,2.07,0.4,1.16
356,5.0,1.41,0.0,0.55
357,4.54,3.1,0.0,2.67
358,2.32,4.06,0.39,2.33
359,2.12,2.06,0.0,0.98
360,5.0,5.0,0.1,4.09
361,1.26,1.79,0.52,1.01
362,1.58,0.66,0.0,0.89
363,1.41,2.02,0.37,0.73
364,3.08,3.21,0.05,0.87
365,5.0,4.77,0.0,4.99
